,emitterName,latentVector,completionPercentage,jumpActionsPerformed,killsTotal,livesLeft,coinsCollected,remainingTime (20-timeSpent),calc_higher_level_non_empty_blocks,calc_num_enemies
37,CMA-ES,"[-0.75688667  0.37051479 -0.14191235  0.73924018  0.36228759  1.13332727
 -0.28797183 -0.71764283  0.26027235  0.23991913 -0.35470265 -0.49474234
  0.11312306 -0.40509997  0.23126398  0.14005621  0.60262929  0.33898907
  2.18850048  0.18948571 -2.0887529   0.68875872 -0.43567096 -0.52525199
  0.08493404 -0.39166317 -0.76134139  0.6009396  -1.21827064 -0.02567632
  0.81301787  0.07864076]",1.0,4,1,0,0,16880,4,3
38,CMA-ES,"[-0.0506138   0.60299882 -0.64920904  1.31167648  1.52745295  0.38558712
  0.08894496  0.33941821 -0.21104637 -0.56724215  0.13030724 -0.79438496
  0.8987086   0.17084232 -0.41202773  0.44499249 -1.03437222 -0.03981346
  0.79649635 -0.40059146 -1.65017294 -0.32229383 -0.81667162 -0.67688181
  0.57320592  0.83609213 -0.72646553  0.11538767 -0.79395772  0.31206005
  0.71062199  0.89265394]",0.8263235688209534,3,0,0,0,17600,51,6
39,CMA-ES,"[-1.68831714  0.8490171  -0.41674236  0.27963724  0.94788171 -0.50795991
 -0.09333152  0.69759177  0.4477577  -0.33394247  0.52701971 -0.43826277
 -0.45039742 -0.58228019  0.19076845  1.02813543 -1.38382319  1.03934867
  0.87762068  0.28872325 -1.061495   -0.50312402 -0.57763446  0.20214976
  0.91196305  0.50022823  0.53128467  0.81322486 -0.92381281  0.05428718
  0.37842954  1.65734792]",1.0,4,0,0,0,17000,11,1
40,CMA-ES,"[-0.01626316  0.76569542 -1.16831109 -0.29213587  0.77774784 -0.21454409
 -0.49159272 -0.40535024  0.40839546  0.19750915 -0.0290693  -0.86477991
 -0.28322337 -1.0668521   0.12755491  0.89821424 -0.82739795 -1.28103295
  0.46265294 -0.95971364 -1.31659593  0.1182012  -0.32542711 -0.8707084
  0.44830819  0.407378   -0.0071719  -0.12587658 -1.58008747  0.71166424
  0.45235926  0.98971055]",1.0,5,1,0,0,17210,0,3
41,CMA-ES,"[-0.75123659 -0.06663767 -0.37232239  0.26148764 -0.06124281 -0.11098925
 -0.76622695 -0.5730505   0.60557621 -0.60729029 -0.49032922 -0.52231542
  0.73449045 -1.29372252 -0.08133697  0.75045338 -0.32756425  1.23074948
  0.70824568 -0.01118819 -0.17918705 -0.78507374 -0.74026217 -0.62416985
  0.88346523  0.78483763  0.2676695  -0.65883023 -1.26168773  0.16773922
  1.07242057  0.4670659 ]",1.0,5,1,0,0,16940,17,4
42,CMA-ES,"[-1.45054583 -0.18485333 -1.21329481  0.66764935  1.30328183  0.40330189
 -0.86411504  0.57209658  0.32791588 -0.07043535  0.16274765 -0.8818863
  0.17984012 -0.07470576 -0.47881602  0.87292919 -0.12212272  0.57067038
  1.60656816 -0.05213082 -1.2145467  -0.200523   -0.10955055 -0.53693608
  0.54379007  0.69165625  0.90262668  0.40695418  0.02600037 -0.26888485
  0.22018064  0.5738395 ]",0.8261634707450867,3,0,0,0,17720,33,1
43,CMA-ES,"[ 0.32682206 -0.2564777  -0.94582503  1.55241489  1.78362852  0.21085837
 -1.15425966  0.35162096  0.63061099 -0.34619318  0.12021178  0.15456471
  0.15925528 -0.76782439  0.32405477  0.15413751  0.17680262  0.35325418
  0.54730887  0.66996167 -1.08933037  0.39742133 -0.45955888 -0.37758507
  0.26324301  0.87982475  0.24060211 -0.09340276 -0.47651909  0.03821377
  0.30747121  1.06927965]",1.0,6,0,0,0,16760,33,2
44,CMA-ES,"[ 0.76072554  0.99176013 -1.15330054  0.76868775  0.73064611  0.57856166
  0.0566029   0.55650051 -0.18100158  0.3223903  -0.20215852 -0.96545857
  0.20245279  0.00770758 -0.0102919   0.47245665  0.09218815  0.35718994
  0.72463319 -0.53180957 -0.98329625  0.14676292 -0.48910719 -0.22663372
  0.60401423  0.37586511 -0.77045406  0.58381382 -0.82317444  0.71573464
 -1.35474158  0.53477424]",1.0,6,1,0,0,17000,3,3
45,CMA-ES,"[-0.25255834 -0.0177813  -0.91844945  0.39587338  0.62884852  0.5612095
 -0.30259289  0.38318214 -0.43589637 -0.88731972 -0.27066093 -0.58127267
 -0.45743144 -0.80694154  0.24916579  0.91168874 -0.0707297   1.05187554
 -0.1933989   0.10690792 -0.95450014 -0.59954627  0.2768613  -0.25015607
  0.8801204   0.1697512   0.08438213 -0.5511137   0.17454038 -0.01077532
  0.59768433  0.67877367]",0.8156468272209167,3,1,0,0,17480,47,5
46,CMA-ES,"[-0.40750024 -0.05305381 -0.83079979 -0.57017299  0.78208658 -0.58524071
 -1.32377202  0.71426347  0.90006791  0.52812537  0.20412684  0.11346374
  0.70721964 -0.20077269  0.81741915  0.87978853 -0.48324243 -0.2733128
 -0.03974691  0.18608012 -1.23795175 -0.57964747 -1.00900175 -0.4715967
  1.02144178  0.31306006  1.20025454  0.24898673 -0.05128862 -0.41831709
  0.1637648   0.2768331 ]",0.9899198412895203,6,0,0,0,16940,14,2
